coordenacao;departamento;codigo;disciplina;turma;ano;docentes;aprovados;cancelados;matriculados;modoOferta;periodo;projetoExtensao;reprovadosfrequencia;reprovadosnota;situacao;total;vagasTotal
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Expressão Gráfica;CEG001;DESENHO TÉCNICO I;A;2023;ISABELLA DE SOUZA SIERRA;22;1;0;Presencial;1° Semestre;;8;3;Encerrada;34;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Expressão Gráfica;CEG001;DESENHO TÉCNICO I;B;2023;ISABELLA DE SOUZA SIERRA;;;;Presencial;1° Semestre;;;;Em aula;;2
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Física;CF105;FÍSICA E2;A;2023;SABRINA BORGES LINO ARAÚJO;8;3;0;Presencial;1° Semestre;;11;8;Encerrada;30;80
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geografia;GB122;ZONEAMENTO GEOGRÁFICO AMBIENTAL;A;2023;EDUARDO VEDOR DE PAULA;12;0;0;Presencial;1° Semestre;;1;0;Encerrada;13;45
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geologia;GC137;FUNDAMENTOS DE GEOLOGIA E GEOQUÍMICA;A;2023;CRISTINA VALLE PINTO COELHO;7;1;0;Presencial;1° Semestre;;3;0;Encerrada;11;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geologia;GC137;FUNDAMENTOS DE GEOLOGIA E GEOQUÍMICA;B;2023;ELVO FASSBINDER;9;1;0;Presencial;1° Semestre;;2;0;Encerrada;12;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geologia;GC138;GEOFÍSICA BÁSICA;A;2023;ALESSANDRA DE BARROS E SILVA BONGIOLO;14;2;0;Presencial;1° Semestre;;3;0;Encerrada;19;45
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA100;TOPOGRAFIA I;B;2023;DANIEL ARANA;1;0;0;Presencial;1° Semestre;;4;6;Encerrada;11;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA104;LEVANTAMENTOS TOPOGRÁFICOS I;A;2023;PEDRO LUIS FAGGION;6;0;0;Presencial;1° Semestre;;0;2;Encerrada;8;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA104;LEVANTAMENTOS TOPOGRÁFICOS I;B;2023;;;;;Presencial;1° Semestre;;;;Inativada;;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA104;LEVANTAMENTOS TOPOGRÁFICOS I;B;2023;LUÍS AUGUSTO KOENIG VEIGA;6;0;0;Presencial;1° Semestre;;0;2;Encerrada;8;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA105;CARTOGRAFIA DIGITAL;A;2023;HENRIQUE FIRKOWSKI;13;0;0;Presencial;1° Semestre;;1;5;Encerrada;19;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA106;AJUSTAMENTO I;A;2023;ANA PAULA BAUNGARTEN KERSTING;7;1;0;Presencial;1° Semestre;;1;1;Encerrada;10;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA107;PROCESSAMENTO DIGITAL DE IMAGENS I;A;2023;JORGE ANTONIO SILVA CENTENO;16;2;0;Presencial;1° Semestre;;4;3;Encerrada;25;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA107;PROCESSAMENTO DIGITAL DE IMAGENS I;B;2023;;;;;Presencial;1° Semestre;;;;Inativada;;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA112;FUNDAMENTOS EM GEODÉSIA;A;2023;REGIANE DALAZOANA;20;1;0;Presencial;1° Semestre;;0;3;Encerrada;24;45
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA113;PROJEÇÕES CARTOGRÁFICAS II;A;2023;HENRIQUE FIRKOWSKI;16;0;0;Presencial;1° Semestre;;1;5;Encerrada;22;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA114;FOTOGRAMETRIA I;A;2023;EDSON APARECIDO MITISHITA;8;1;0;Presencial;1° Semestre;;3;3;Encerrada;15;35
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA114;FOTOGRAMETRIA I;B;2023;;;;;Presencial;1° Semestre;;;;Inativada;;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA115;SENSORIAMENTO REMOTO II;A;2023;JORGE ANTONIO SILVA CENTENO;18;0;0;Presencial;1° Semestre;;1;0;Encerrada;19;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA116;SISTEMAS DE REFERÊNCIA E TEMPO;A;2023;ÉRICA SANTOS MATOS BALUTA;15;0;0;Presencial;1° Semestre;;1;0;Encerrada;16;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA117;BANCO DE DADOS GEOGRÁFICOS;A;2023;SILVANA PHILIPPI CAMBOIM;14;2;0;Presencial;1° Semestre;;2;4;Encerrada;22;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA118;COMUNICAÇÃO E EXPRESSÃO;A;2023;HENRIQUE FIRKOWSKI;10;2;0;Presencial;1° Semestre;;3;0;Encerrada;15;45
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;A;2023;DANIEL ARANA;0;0;0;Presencial;1° Semestre;;1;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;B;2023;ANA PAULA BAUNGARTEN KERSTING;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;C;2023;CAIO DOS ANJOS PAIVA;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
