semestre;codigo;requisito1;requisito2;requisito3;requisito4
1;GA200;1;1;1;1
1;CEG001;1;1;1;1
1;CM303;1;1;1;1
1;CM300;1;1;1;1
1;CI180;1;1;1;1
2;GA201;GA200;1;1;1
2;GA202;1;1;1;1
2;GA253;CI180;1;1;1
2;CM301;CM300;1;1;1
2;CE009;1;1;1;1
3;GA204;GA201;1;1;1
3;GA205;GA202;1;1;1
3;GA106;CE009;CM301;CM303;CI180
3;GA107;CI180;1;1;1
3;CF105;1;1;1;1
3;CM302;CM301;1;1;1
3;GC137;1;1;1;1
4;GA208;GA201;1;1;1
4;GA209;GA202;CM301;1;1
4;GA110;GA106;1;1;1
4;GA111;GA107;1;1;1
4;CF106;1;1;1;1
4;CI181;1;1;1;1
5;GA212;GA200;1;1;1
5;GA113;GA209;1;1;1
5;GA114;1;1;1;1
5;GA115;GA111;1;1;1
5;GA216;GA200;CM303;1;1
5;GA217;GA253;GA205;1;1
5;GC138;1;1;1;1
5;GA118;1;1;1;1
6;GA219;GA212;1;1;1
6;GA220;GA205;GA209;1;1
6;GA221;GA106;GA114;1;1
6;GA222;GA205;1;1;1
6;GA123;GA106;GA212;1;1
6;GB121;1;1;1;1
6;GA124;GA204;GA205;GA111;GA114
7;GA225;GA212;1;1;1
7;GA226;CE009;GA220;1;1
7;GA127;GA221;1;1;1
7;TT082;GA201;1;1;1
7;GA228;CF105;CM303;1;1
8;GA229;GA212;1;1;1
8;GA130;GA219;GA220;GA221;1
8;GA131;GA127;1;1;1
8;GA232;GA228;1;1;1
8;TT080;CE009;CI181;1;1
8;GA233;1;1;1;1
9;GA234;GA222;1;1;1
9;GA235;GA222;1;1;1
9;GB122;1;1;1;1
9;TH048;CF105;1;1;1
9;TT081;1;1;1;1
10;GA158 OU GA258;GA130;1;1;1
